district,neighbourhood
KaMubukwana,Zimpeto
KaMubukwana,Bagamoyo
KaMubukwana,Inhagoia A
KaMubukwana,Inhagoia B
KaMubukwana,Jardim
KaMubukwana,George Dimitrov (Benfica)
KaMubukwana,Luis Cabral
KaMubukwana,Magoanine A
KaMubukwana,Magoanine B
KaMubukwana,Magoanine C
KaMubukwana,Malhazine
KaMubukwana,Nsalane
KaMubukwana,25 de Junho A
KaMubukwana,25 de Junho B
Nlhamankulu,Aeroporto A
Nlhamankulu,Aeroporto B
Nlhamankulu,Chamanculo A
Nlhamankulu,Chamanculo B
Nlhamankulu,Chamanculo C
Nlhamankulu,Chamanculo D
Nlhamankulu,Xipamanine
Nlhamankulu,Minkadjuine
Nlhamankulu,Unidade 7
Nlhamankulu,Malanga
Nlhamankulu,Munhuana
KaMaxaquene,Maxaquene A
KaMaxaquene,Maxaquene B
KaMaxaquene,Maxaquene C
KaMaxaquene,Maxaquene D
KaMaxaquene,Mafalala
KaMaxaquene,Polana Canico A
KaMaxaquene,Polana Canico B
KaMaxaquene,Urbanizacao
KaMavota,Mavalane A
KaMavota,Mavalane B
KaMavota,FPLM
KaMavota,Hulene A
KaMavota,Hulene B
KaMavota,Costa do Sol
KaMavota,Ferroviario
KaMavota,Laulane
KaMavota,3 de Fevereiro
KaMavota,Mahotas
KaMavota,Albazine
KaMpfumo,"Central A
"
KaMpfumo,"Central B
"
KaMpfumo,"Central C
"
KaMpfumo,Alto Mae A
KaMpfumo,Alto Mae B
KaMpfumo,Malhangalene A
KaMpfumo,Malhangalene B
KaMpfumo,Polana Cimento A
KaMpfumo,Polana Cimento B
KaMpfumo,Coop
KaMpfumo,Sommerchield
,KaMavota
,KaMaxaquene
,KaMpfumo
,KaMubukwana
,Nlhamankulu
